Q_ID,Domain,Question,Answer,Difficulty,Source
1,Networking,The following data fragment occurs in the middle of a data stream for which the bytestuffing algorithm described in the text is used: A B ESC C ESC FLAG FLAG D. What is the output after stuffing?,A B ESC ESC C ESC ESC ESC FLAG ESC FLAG D,Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
2,Networking,What is the maximum overhead in byte-stuffing algorithm?,"The maximum overhead occurs when the payload consists of only ESC and
FLAG bytes. In this case, there will be 100% overhead.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
3,Networking,"A 12-bit Hamming code whose hexadecimal value is 0xE4F arrives at a receiver.
What was the original value in hexadecimal? Assume that not more than 1 bit is in
error.","If we number the bits from left to right starting at bit 1, in this example bit 2
(a parity bit) is incorrect. The 12-bit value transmitted (after Hamming encoding)
was 0xA4F. The original 8-bit data value was 0xAF.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
4,Networking,"What is the length of a contention slot in CSMA/CD for (a) a 2-km twin-lead cable
(signal propagation speed is 82% of the signal propagation speed in vacuum)?, and (b)
a 40-km multimode fiber optic cable (signal propagation speed is 65% of the signal
propagation speed in vacuum)?","(a) Signal propagation speed in twin lead is 2.46 × 108 m/sec. Signal propagation
time for 2 km is 8.13 μsec. So, the length of contention slot is 16.26
μsec. (b) Signal propagation speed in multimode fiber is 1.95 × 108 m/s. Signal
propagation time for 40 km is 205.13 μsec. So, the length of contention
slot is 410.26 μsec.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
5,Networking,Sketch the Manchester encoding on a classic Ethernet for the bit stream 0001110101.,"The signal is a square wave with two values, high (H) and low (L). The pattern
is LHLHLHHLHLHLLHHLLHHL",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
6,Networking,One important difference between a bridge and a router?,"Bridge is L2 switching, router is L3 routing with routing tables.",Easy,UMass CMPSCI453 Final 2002
7,Networking,Do ATM cells carry source or destination addresses in the header?,No. They carry VPI/VCI only.,Easy,UMass CMPSCI453 Final 2002
8,Networking,True or False: An input port on a router performs the physical layer function of line termination.,True,Easy,UCalgary CPSC441 Final 2021
9,Networking,True or False: Every datalink layer protocol requires a MAC channel access protocol.,False,Easy,UCalgary CPSC441 Final 2021
10,Networking,What is a distinctive feature of Asynchronous Transfer Mode ATM networks,ATM uses fixed size 53 byte packets called cells rather than variable length packets,Easy,University of Calgary Final F2018 solution Q2
11,Networking,On classic Ethernet what is the maximum transmission unit MTU for an IP datagram,The Ethernet MTU for an IP datagram is 1500 bytes,Easy,University of Calgary Final F2018 solution Q2
12,Networking,Does every data link layer protocol require a MAC channel access protocol,False point to point links do not need a multiple access control protocol,Easy,University of Calgary  Final F2021 solution Q3
13,Networking,Is an Ethernet switch a link layer device,True it operates at layer two and forwards based on MAC addresses,Easy,University of Calgary Final F2021 solution Q6
14,Networking,Is Cyclic Redundancy Check a powerful error correction code,False CRC is used for error detection not for correcting errors,Easy,University of Calgary Final F2021 solution Q7
15,Networking,Which IP address is private? (a) 10.13.159.125 (b) 172.186.11.21 (c) 244.244.244.244 (d) 11.189.11.21 (e) 192.166.125.221,(a) 10.13.159.125,Easy,UCalgary CPSC441 Final 2021
16,Networking,The allocation of IP addresses is managed by: (a) ICANN (b) IEEE (c) IETF (d) Internet Society (e) Prof. Williamson,(a) ICANN,Easy,UCalgary CPSC441 Final 2021
17,Networking,IP-in-IP tunneling can support: (a) mobility with stable identity (b) IPv6 over IPv4 (c) multicast overlay (d) all (e) none,(d) all of the above,Easy,UCalgary CPSC441 Final 2021
18,Networking,Which algorithm is used in Routing Information Protocol (RIP) ? (a) Dijkstra (b) Bellman–Ford (c) Prim (d) Floyd–Warshall (e) Kruskal,(b) Bellman–Ford,Easy,UCalgary CPSC441 Final 2021
19,Networking,Each AS communicates with other ASes using: (a) IS-IS (b) OSPF (c) RIP (d) BGP (e) none,(d) BGP,Easy,UCalgary CPSC441 Final 2021
20,Networking,What does it mean to be multihomed?,Connected to two or more networks or ISPs.,Easy,UMass CMPSCI453 Final 2002
21,Networking,"In BGP, how can an AS A control whether others route traffic to destination X via A?",By advertising or not advertising paths to X.,Easy,UMass CMPSCI453 Final 2002
22,Networking,"Assuming that all routers and hosts are working properly and that all software in both
is free of all errors, is there any chance, however small, that a packet will be delivered
to the wrong destination?","Yes. A large noise burst could garble a packet badly. With a k-bit checksum, there is a probability of 2^−k that the error is undetected. If the destination field or, equivalently, virtual-circuit number, is changed, the packet will be delivered to the wrong destination and accepted as genuine. Put in other words, an occasional noise burst could change a perfectly legal packet for one destination into a perfectly legal packet for another destination.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
23,Networking,"Describe two major differences between the ECN method and the RED method of
congestion avoidance.","First, the ECN method explicitly sends a congestion notification to the source
by setting a bit, whereas RED implicitly notifies the source by simply dropping
one of its packets. Second, the ECN method drops a packet only when
there is no buffer space left, whereas RED drops packets before all the buffer
are exhausted.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
24,Networking,"A token bucket scheme is used for traffic shaping. A new token is put into the bucket
every 5 μsec. Each token is good for one short packet, which contains 48 bytes of
data. What is the maximum sustainable data rate?","With a token every 5 μsec, 200,000 cells/sec can be sent. Each packet holds
48 data bytes or 384 bits. The net data rate is then 76.8 Mbps.",Easy,Book (Computer Networks by Andrew S Tanenbaum and David J Wetherall)
25,Networking,In a Class B IPv4 address such as 136.159.5.20 how long is the network identifier portion,In Class B the network identifier is 16 bits long corresponding to the first two octets for this example 136.159,Easy,University of Calgary Final F2018 solution Q9
26,Networking,In Classless Inter Domain Routing CIDR what is the length of the network identifier in an IPv4 address,The network identifier length is variable and is specified by the prefix length notation for example slash 20 or slash 24 so none of the fixed length options apply,Easy,University of Calgary Final F2018 solution Q10
27,Networking,Is the statement correct that an input port on a router performs the physical layer function of line termination,True,Easy,University of Calgary Final F2021 solution Q1
28,Networking,Does the Link State routing algorithm suffer from the count to infinity problem,False the count to infinity problem is a weakness of distance vector routing not Link State routing,Easy,University of Calgary  Final F2021 solution Q2
29,Networking,Is IP fragmentation a new feature that is supported in IPv6 but not in IPv4,False IPv4 supports fragmentation while IPv6 removes it from routers,Easy,University of Calgary Final F2021 solution Q4
30,Networking,Is it correct to say that BGP is the glue that holds Internet routing together,True BGP is the inter domain routing protocol that connects autonomous systems,Easy,University of Calgary Final F2021 solution Q5
31,Networking,Why add playout delay for Internet voice?,To compensate for variable delay (jitter).,Easy,UMass CMPSCI453 Final 2002
